UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
MG;2023; 91.405.979.912,77 ;2,0%; 4.596.805.948,44 ; 1.521.051.200,79 ; 2.595.690.157,81 ; 789.787.258,58 ; 3.385.477.416,39 ;;;;;;;
PA;2023; 34.296.177.567,37 ;1,5%; 91.096,91 ; 107.772,24 ; -   ; 223.876,90 ; 223.876,90 ;;;;;;;
PB;2023; 15.758.982.577,21 ;1,5%; 4.457.736.086,80 ; 367.819.765,92 ; 4.957.034.085,11 ; 2.386.806.804,22 ; 7.343.840.889,33 ;;;;;;;
PR;2023; 55.765.095.408,09 ;2,0%; 8.335.926.792,89 ; 1.097.863.404,60 ; 7.784.991.192,74 ; 406.670.106,53 ; 8.191.661.299,27 ;;;;;;;
PE;2023; 36.722.105.248,87 ;1,5%; 328.910.665,99 ; 194.141.367,80 ; 182.750.088,90 ; 88.136.917,21 ; 270.887.006,11 ;;;;;;;
PI;2023; 13.517.450.096,11 ;1,5%; 2.165.311.142,81 ; 77.223.242,18 ; 2.114.834.868,70 ; 329.878.815,79 ; 2.444.713.684,49 ;;;;;;;
RJ;2023; 89.631.905.200,18 ;2,0%; 8.849.509.112,98 ; 1.378.465.866,51 ; 8.059.475.027,86 ; 2.901.571.507,49 ; 10.961.046.535,35 ;;;;;;;
RN;2023; 14.259.524.062,30 ;1,5%; 2.357.595.737,35 ; 189.179.247,52 ; 2.454.600.144,49 ; 1.228.967.476,10 ; 3.683.567.620,59 ;;;;;;;
RS;2023; 50.634.029.849,59 ;2,0%; 16.903.171.831,01 ; 2.521.337.407,73 ; 15.724.188.585,17 ; 683.286.562,58 ; 16.407.475.147,75 ;;;;;;;
RO;2023; 11.599.606.062,92 ;1,5%; 2.413.190.999,12 ; 212.020.515,87 ; 2.777.926.854,47 ; 252.541.800,65 ; 3.030.468.655,12 ;;;;;;;
